SOTA-REF,COUNTY,STATE
W7I/IC-086,IDAHO,ID
W7I/IC-087,IDAHO,ID
W7I/IC-088,IDAHO,ID
W7I/IC-089,IDAHO,ID
W7I/IC-090,IDAHO,ID
W7I/IC-091,IDAHO,ID
W7I/IC-092,IDAHO,ID
W7I/IC-093,IDAHO,ID
W7I/IC-094,IDAHO,ID
W7I/IC-095,IDAHO,ID
W7I/IC-096,IDAHO,ID
W7I/IC-097,IDAHO,ID
W7I/IC-099,IDAHO,ID
W7I/IC-100,IDAHO,ID
W7I/IC-101,IDAHO,ID
W7I/IC-102,IDAHO,ID
W7I/IC-103,IDAHO,ID
W7I/IC-104,IDAHO,ID
W7I/IC-105,IDAHO,ID
W7I/IC-106,IDAHO,ID
W7I/IC-107,IDAHO,ID
W7I/IC-108,IDAHO,ID
W7I/IC-109,IDAHO,ID
W7I/IC-110,IDAHO,ID
W7I/IC-111,IDAHO,ID
W7I/IC-112,IDAHO,ID
W7I/IC-113,IDAHO,ID
W7I/IC-114,IDAHO,ID
W7I/IC-115,IDAHO,ID
W7I/IC-116,IDAHO,ID
W7I/IC-117,IDAHO,ID
W7I/IC-118,IDAHO,ID
W7I/IC-119,IDAHO,ID
W7I/IC-120,IDAHO,ID
W7I/IC-121,IDAHO,ID
W7I/IC-122,IDAHO,ID
W7I/IC-123,IDAHO,ID
W7I/IC-124,IDAHO,ID
W7I/IC-125,IDAHO,ID
W7I/IC-126,IDAHO,ID
W7I/IC-127,IDAHO,ID
W7I/IC-128,IDAHO,ID
W7I/IC-129,IDAHO,ID
W7I/IC-130,IDAHO,ID
W7I/IC-131,IDAHO,ID
W7I/IC-132,IDAHO,ID
W7I/IC-133,IDAHO,ID
W7I/IC-134,IDAHO,ID
W7I/IC-135,IDAHO,ID
W7I/IC-136,IDAHO,ID
W7I/IC-137,IDAHO,ID
W7I/IC-138,IDAHO,ID
W7I/IC-139,IDAHO,ID
W7I/IC-140,IDAHO,ID
W7I/IC-141,IDAHO,ID
W7I/IC-142,IDAHO,ID
W7I/IC-143,IDAHO,ID
W7I/IC-144,IDAHO,ID
W7I/IC-145,IDAHO,ID
W7I/IC-146,IDAHO,ID
W7I/IC-147,IDAHO,ID
W7I/IC-148,IDAHO,ID
W7I/IC-149,IDAHO,ID
W7I/IC-150,IDAHO,ID
W7I/IC-151,IDAHO,ID
W7I/IC-152,IDAHO,ID
W7I/IC-153,IDAHO,ID
W7I/IC-154,IDAHO,ID
W7I/IC-155,IDAHO,ID
W7I/IC-156,IDAHO,ID
W7I/IC-157,IDAHO,ID
W7I/IC-158,IDAHO,ID
W7I/IC-159,IDAHO,ID
W7I/IC-160,IDAHO,ID
W7I/IC-161,IDAHO,ID
W7I/IC-162,IDAHO,ID
W7I/IC-163,IDAHO,ID
